Systematic Name,Standard Name,Qualifier
YHL040C,ARN1,Verified
YHL041W,,Dubious
YHL042W,,Uncharacterized
YHL043W,ECM34,Verified
YHL044W,,Uncharacterized
YHL045W,,Dubious
YHL046C,PAU13,Verified
YHL047C,ARN2,Verified
YHL048W,COS8,Verified
YHL049C,,Uncharacterized
YHL050C,,Uncharacterized
YHR001W,OSH7,Verified
YHR002W,LEU5,Verified
YHR003C,TCD1,Verified
YHR004C,NEM1,Verified
YHR005C,GPA1,Verified
YHR006W,STP2,Verified
YHR007C,ERG11,Verified
YHR008C,SOD2,Verified
YHR009C,TDA3,Verified
YHR010W,RPL27A,Verified
YHR011W,DIA4,Verified
YHR012W,VPS29,Verified
YHR013C,ARD1,Verified
YHR014W,SPO13,Verified
YHR015W,MIP6,Verified
YHR016C,YSC84,Verified
YHR017W,YSC83,Verified
YHR018C,ARG4,Verified
YHR019C,DED81,Verified
YHR020W,,Verified
YHR021C,RPS27B,Verified
YHR022C,,Uncharacterized
YHR023W,MYO1,Verified
YHR024C,MAS2,Verified
YHR025W,THR1,Verified
YHR026W,VMA16,Verified
YHR027C,RPN1,Verified
YHR028C,DAP2,Verified
YHR029C,YHI9,Verified
YHR030C,SLT2,Verified
YHR031C,RRM3,Verified
YHR032W,ERC1,Verified
YHR033W,,Uncharacterized
YHR034C,PIH1,Verified
YHR035W,NEL1,Verified
YHR036W,BRL1,Verified
YHR037W,PUT2,Verified
YHR038W,RRF1,Verified
YHR039C,MSC7,Verified
YHR040W,BCD1,Verified
YHR041C,SRB2,Verified
YHR042W,NCP1,Verified
YHR043C,DOG2,Verified
YHR044C,DOG1,Verified
YHR045W,,Uncharacterized
YHR046C,INM1,Verified
YHR047C,AAP1,Verified
YHR048W,YHK8,Uncharacterized
YHR049W,FSH1,Verified
YHR050W,SMF2,Verified
YHR051W,COX6,Verified
YHR052W,CIC1,Verified
YHR053C,CUP1-1,Verified
YHR054C,,Uncharacterized
YHR055C,CUP1-2,Verified
YHR056C,RSC30,Verified
YHR057C,CPR2,Verified
YHR058C,MED6,Verified
YHR059W,FYV4,Verified
YHR060W,VMA22,Verified
YHR061C,GIC1,Verified
YHR062C,RPP1,Verified
YHR063C,PAN5,Verified
YHR064C,SSZ1,Verified
YHR065C,RRP3,Verified
YHR066W,SSF1,Verified
YHR067W,HTD2,Verified
YHR068W,DYS1,Verified
YHR069C,RRP4,Verified
YHR070W,TRM5,Verified
YHR071W,PCL5,Verified
YHR072W,ERG7,Verified
YHR073W,OSH3,Verified
YHR074W,QNS1,Verified
YHR075C,PPE1,Verified
YHR076W,PTC7,Verified
YHR077C,NMD2,Verified
YHR078W,,Uncharacterized
YHR079C,IRE1,Verified
YHR080C,LAM4,Verified
YHR081W,LRP1,Verified
YHR082C,KSP1,Verified
YHR083W,SAM35,Verified
YHR084W,STE12,Verified
YHR085W,IPI1,Verified
YHR086W,NAM8,Verified
YHR087W,RTC3,Verified
YHR088W,RPF1,Verified
YHR089C,GAR1,Verified
YHR090C,YNG2,Verified
YHR091C,MSR1,Verified
YHR092C,HXT4,Verified
YHR093W,AHT1,Dubious
YHR094C,HXT1,Verified
YHR095W,,Dubious
YHR096C,HXT5,Verified
YHR097C,,Uncharacterized
YHR098C,SFB3,Verified
YHR099W,TRA1,Verified
YHR100C,GEP4,Verified
YHR101C,BIG1,Verified
YHR102W,KIC1,Verified
YHR103W,SBE22,Verified
YHR104W,GRE3,Verified
YHR105W,YPT35,Verified
YHR106W,TRR2,Verified
YHR107C,CDC12,Verified
YHR108W,GGA2,Verified
YHR109W,CTM1,Verified
YHR110W,ERP5,Verified
YHR111W,UBA4,Verified
YHR112C,,Verified
YHR113W,APE4,Verified
YHR114W,BZZ1,Verified
YHR115C,DMA1,Verified
YHR116W,COX23,Verified
YHR117W,TOM71,Verified
YHR118C,ORC6,Verified
YHR119W,SET1,Verified
YHR120W,MSH1,Verified
YHR121W,LSM12,Verified
YHR122W,CIA2,Verified
YHR123W,EPT1,Verified
YHR124W,NDT80,Verified
YHR125W,,Dubious
YHR126C,ANS1,Uncharacterized
YHR127W,,Verified
YHR128W,FUR1,Verified
YHR129C,ARP1,Verified
YHR130C,,Uncharacterized
YHR131C,,Uncharacterized
YHR132C,ECM14,Verified
YHR133C,NSG1,Verified
YHR134W,WSS1,Verified
YHR135C,YCK1,Verified
YHR136C,SPL2,Verified
YHR137W,ARO9,Verified
YHR138C,,Verified
YHR139C,SPS100,Verified
YHR140W,,Uncharacterized
YHR141C,RPL42B,Verified
YHR142W,CHS7,Verified
YHR143W-A,RPC10,Verified
YHR143W,DSE2,Verified
YHR144C,DCD1,Verified
YHR145C,,Dubious
YHR146W,CRP1,Verified
YHR147C,MRPL6,Verified
YHR148W,IMP3,Verified
YHR149C,SKG6,Verified
YHR150W,PEX28,Verified
YHR151C,MTC6,Verified
YHR152W,SPO12,Verified
YHR153C,SPO16,Verified
YHR154W,RTT107,Verified
YHR155W,LAM1,Verified
YHR156C,LIN1,Verified
YHR157W,REC104,Verified
YHR158C,KEL1,Verified
YHR159W,TDA11,Uncharacterized
YHR160C,PEX18,Verified
YHR161C,YAP1801,Verified
YHR162W,MPC2,Verified
YHR163W,SOL3,Verified
YHR164C,DNA2,Verified
YHR165C,PRP8,Verified
YHR166C,CDC23,Verified
YHR167W,THP2,Verified
YHR168W,MTG2,Verified
YHR169W,DBP8,Verified
YHR170W,NMD3,Verified
YHR171W,ATG7,Verified
YHR172W,SPC97,Verified
YHR173C,,Uncharacterized
YHR174W,ENO2,Verified
YHR175W,CTR2,Verified
YHR176W,FMO1,Verified
YHR177W,,Verified
YHR178W,STB5,Verified
YHR179W,OYE2,Verified
YHR180W,,Dubious
YHR181W,SVP26,Verified
YHR182W,,Verified
YHR183W,GND1,Verified
YHR184W,SSP1,Verified
YHR185C,PFS1,Verified
YHR186C,KOG1,Verified
YHR187W,IKI1,Verified
YHR188C,GPI16,Verified
YHR189W,PTH1,Verified
YHR190W,ERG9,Verified
YHR191C,CTF8,Verified
YHR192W,LNP1,Verified
YHR193C,EGD2,Verified
YHR194W,MDM31,Verified
YHR195W,NVJ1,Verified
YHR196W,UTP9,Verified
YHR197W,RIX1,Verified
YHR198C,AIM18,Verified
YHR199C,AIM46,Verified
YHR200W,RPN10,Verified
YHR201C,PPX1,Verified
YHR202W,,Uncharacterized
YHR203C,RPS4B,Verified
YHR204W,MNL1,Verified
YHR205W,SCH9,Verified
YHR206W,SKN7,Verified
YHR207C,SET5,Verified
YHR208W,BAT1,Verified
YHR209W,CRG1,Verified
YHR210C,,Uncharacterized
YHR211W,FLO5,Verified
YHR212C,,Dubious
YHR213W,,Uncharacterized
YHR214W,,Uncharacterized
YHR215W,PHO12,Verified
YHR216W,IMD2,Verified
YHR217C,,Dubious
YHR218W,,Uncharacterized
YHR219W,,Uncharacterized
YIL001W,,Uncharacterized
YIL002C,INP51,Verified
YIL003W,CFD1,Verified
YIL004C,BET1,Verified
YIL005W,EPS1,Verified
YIL006W,YIA6,Verified
YIL007C,NAS2,Verified
YIL008W,URM1,Verified
YIL009W,FAA3,Verified
YIL010W,DOT5,Verified
YIL011W,TIR3,Verified
YIL012W,,Dubious
YIL013C,PDR11,Verified
YIL014W,MNT3,Verified
YIL015W,BAR1,Verified
YIL016W,SNL1,Verified
YIL017C,VID28,Verified
YIL018W,RPL2B,Verified
YIL019W,FAF1,Verified
YIL020C,HIS6,Verified
YIL021W,RPB3,Verified
YIL022W,TIM44,Verified
YIL023C,YKE4,Verified
YIL024C,,Uncharacterized
YIL025C,,Dubious
YIL026C,IRR1,Verified
YIL027C,EMC5,Verified
YIL028W,,Dubious
YIL029C,,Uncharacterized
YIL030C,SSM4,Verified
YIL031W,ULP2,Verified
YIL032C,,Dubious
YIL033C,BCY1,Verified
YIL034C,CAP2,Verified
YIL035C,CKA1,Verified
YIL036W,CST6,Verified
YIL037C,PRM2,Verified
YIL038C,NOT3,Verified
YIL039W,TED1,Verified
YIL040W,APQ12,Verified
YIL041W,GVP36,Verified
YIL042C,PKP1,Verified
YIL043C,CBR1,Verified
YIL044C,AGE2,Verified
YIL045W,PIG2,Verified
YIL046W,MET30,Verified
YIL047C,SYG1,Verified
YIL048W,NEO1,Verified
YIL049W,DFG10,Verified
YIL050W,PCL7,Verified
YIL051C,MMF1,Verified
YIL052C,RPL34B,Verified
YIL053W,GPP1,Verified
YIL054W,,Uncharacterized
YIL055C,,Uncharacterized
YIL056W,VHR1,Verified
YIL057C,RGI2,Verified
YIL058W,,Dubious
YIL059C,,Dubious
YIL060W,,Verified
YIL061C,SNP1,Verified
YIL062C,ARC15,Verified
YIL063C,YRB2,Verified
YIL064W,EFM4,Verified
YIL065C,FIS1,Verified
YIL066C,RNR3,Verified
YIL067C,,Uncharacterized
YIL068C,SEC6,Verified
YIL069C,RPS24B,Verified
YIL070C,MAM33,Verified
YIL071C,PCI8,Verified
YIL072W,HOP1,Verified
YIL073C,SPO22,Verified
YIL074C,SER33,Verified
YIL075C,RPN2,Verified
YIL076W,SEC28,Verified
YIL077C,,Uncharacterized
YIL078W,THS1,Verified
YIL079C,AIR1,Verified
YIL082W,,Dubious
YIL083C,CAB2,Verified
YIL084C,SDS3,Verified
YIL085C,KTR7,Verified
YIL086C,,Dubious
YIL087C,AIM19,Verified
YIL088C,AVT7,Verified
YIL089W,,Verified
YIL090W,ICE2,Verified
YIL091C,UTP25,Verified
YIL092W,,Uncharacterized
YIL093C,RSM25,Verified
YIL094C,LYS12,Verified
YIL095W,PRK1,Verified
YIL096C,BMT5,Verified
YIL097W,FYV10,Verified
YIL098C,FMC1,Verified
YIL099W,SGA1,Verified
YIL100W,,Dubious
YIL101C,XBP1,Verified
YIL102C,,Uncharacterized
YIL103W,DPH1,Verified
YIL104C,SHQ1,Verified
YIL105C,SLM1,Verified
YIL106W,MOB1,Verified
YIL107C,PFK26,Verified
YIL108W,,Verified
YIL109C,SEC24,Verified
YIL110W,HPM1,Verified
YIL111W,COX5B,Verified
YIL112W,HOS4,Verified
YIL113W,SDP1,Verified
YIL114C,POR2,Verified
YIL115C,NUP159,Verified
YIL116W,HIS5,Verified
YIL117C,PRM5,Verified
YIL118W,RHO3,Verified
YIL119C,RPI1,Verified
YIL120W,QDR1,Verified
YIL121W,QDR2,Verified
YIL122W,POG1,Verified
YIL123W,SIM1,Verified
YIL124W,AYR1,Verified
YIL125W,KGD1,Verified
YIL126W,STH1,Verified
YIL127C,RRT14,Uncharacterized
YIL128W,MET18,Verified
YIL129C,TAO3,Verified
YIL130W,ASG1,Verified
YIL131C,FKH1,Verified
YIL132C,CSM2,Verified
YIL133C,RPL16A,Verified
YIL134W,FLX1,Verified
YIL135C,VHS2,Verified
YIL136W,OM45,Verified
YIL137C,TMA108,Verified
YIL138C,TPM2,Verified
YIL139C,REV7,Verified
YIL140W,AXL2,Verified
YIL141W,,Dubious
YIL142W,CCT2,Verified
YIL143C,SSL2,Verified
YIL144W,NDC80,Verified
YIL145C,PAN6,Verified
YIL146C,ATG32,Verified
YIL147C,SLN1,Verified
YIL148W,RPL40A,Verified
YIL149C,MLP2,Verified
YIL150C,MCM10,Verified
YIL151C,ESL1,Uncharacterized
YIL152W,,Uncharacterized
YIL153W,RRD1,Verified
YIL154C,IMP2',Verified
YIL155C,GUT2,Verified
YIL156W,UBP7,Verified
YIL157C,COA1,Verified
YIL158W,AIM20,Verified
YIL159W,BNR1,Verified
YIL160C,POT1,Verified
YIL161W,,Uncharacterized
YIL162W,SUC2,Verified
YIL163C,,Uncharacterized
YIL164C,NIT1,Verified
YIL165C,,Uncharacterized
YIL166C,,Uncharacterized
YIL169C,CSS1,Verified
YIL172C,IMA3,Verified
YIL173W,VTH1,Verified
YIL176C,PAU14,Uncharacterized
YIL177C,,Uncharacterized
YIR001C,SGN1,Verified
YIR002C,MPH1,Verified
YIR003W,AIM21,Verified
YIR004W,DJP1,Verified
YIR005W,IST3,Verified
YIR006C,PAN1,Verified
YIR007W,EGH1,Verified
YIR008C,PRI1,Verified
YIR009W,MSL1,Verified
YIR010W,DSN1,Verified
YIR011C,STS1,Verified
YIR012W,SQT1,Verified
YIR013C,GAT4,Verified
YIR014W,,Uncharacterized
YIR015W,RPR2,Verified
YIR016W,,Uncharacterized
YIR017C,MET28,Verified
YIR018W,YAP5,Verified
YIR019C,FLO11,Verified
YIR020C,,Uncharacterized
YIR021W,MRS1,Verified
YIR022W,SEC11,Verified
YIR023W,DAL81,Verified
YIR024C,INA22,Verified
YIR025W,MND2,Verified
YIR026C,YVH1,Verified
YIR027C,DAL1,Verified
YIR028W,DAL4,Verified
YIR029W,DAL2,Verified
YIR030C,DCG1,Verified
YIR031C,DAL7,Verified
YIR032C,DAL3,Verified
YIR033W,MGA2,Verified
YIR034C,LYS1,Verified
YIR035C,,Uncharacterized
YIR036C,IRC24,Verified
YIR037W,HYR1,Verified
YIR038C,GTT1,Verified
YIR039C,YPS6,Verified
YIR040C,,Dubious
YIR041W,PAU15,Verified
YIR042C,,Uncharacterized
YKL001C,MET14,Verified
YKL002W,DID4,Verified
YKL003C,MRP17,Verified
YKL004W,AUR1,Verified
YKL005C,BYE1,Verified
YKL006W,RPL14A,Verified
YKL007W,CAP1,Verified
YKL008C,LAC1,Verified
YKL009W,MRT4,Verified
YKL010C,UFD4,Verified
YKL011C,CCE1,Verified
YKL012W,PRP40,Verified
YKL013C,ARC19,Verified
YKL014C,URB1,Verified
YKL015W,PUT3,Verified
YKL016C,ATP7,Verified
YKL017C,HCS1,Verified
YKL018W,SWD2,Verified
YKL019W,RAM2,Verified
YKL020C,SPT23,Verified
YKL021C,MAK11,Verified
YKL022C,CDC16,Verified
YKL023W,,Uncharacterized
YKL024C,URA6,Verified
YKL025C,PAN3,Verified
YKL026C,GPX1,Verified
YKL027W,TCD2,Verified
YKL028W,TFA1,Verified
YKL029C,MAE1,Verified
YKL030W,,Dubious
YKL031W,,Dubious
YKL032C,IXR1,Verified
YKL033W,TTI1,Verified
YKL034W,TUL1,Verified
YKL035W,UGP1,Verified
YKL036C,,Dubious
YKL037W,AIM26,Verified
YKL038W,RGT1,Verified
YKL039W,PTM1,Verified
YKL040C,NFU1,Verified
YKL041W,VPS24,Verified
YKL042W,SPC42,Verified
YKL043W,PHD1,Verified
YKL044W,MMO1,Verified
YKL045W,PRI2,Verified
YKL046C,DCW1,Verified
YKL047W,ANR2,Verified
YKL048C,ELM1,Verified
YKL049C,CSE4,Verified
YKL050C,,Verified
YKL051W,SFK1,Verified
YKL052C,ASK1,Verified
YKL053W,,Dubious
YKL054C,DEF1,Verified
YKL055C,OAR1,Verified
YKL056C,TMA19,Verified
YKL057C,NUP120,Verified
YKL058W,TOA2,Verified
YKL059C,MPE1,Verified
YKL060C,FBA1,Verified
YKL061W,BLI1,Verified
YKL062W,MSN4,Verified
YKL063C,,Uncharacterized
YKL064W,MNR2,Verified
YKL065C,YET1,Verified
YKL066W,,Dubious
YKL067W,YNK1,Verified
YKL068W,NUP100,Verified
YKL069W,,Verified
YKL070W,,Uncharacterized
YKL071W,,Uncharacterized
YKL072W,STB6,Verified
YKL073W,LHS1,Verified
YKL074C,MUD2,Verified
YKL075C,,Uncharacterized
YKL076C,PSY1,Dubious
YKL077W,,Uncharacterized
YKL078W,DHR2,Verified
YKL079W,SMY1,Verified
YKL080W,VMA5,Verified
YKL081W,TEF4,Verified
YKL082C,RRP14,Verified
YKL083W,,Dubious
YKL084W,HOT13,Verified
YKL085W,MDH1,Verified
YKL086W,SRX1,Verified
YKL087C,CYT2,Verified
YKL088W,CAB3,Verified
YKL089W,MIF2,Verified
YKL090W,CUE2,Verified
YKL091C,,Verified
YKL092C,BUD2,Verified
YKL093W,MBR1,Verified
YKL094W,YJU3,Verified
YKL095W,YJU2,Verified
YKL096W,CWP1,Verified
YKL097C,,Dubious
YKL098W,MTC2,Verified
YKL099C,UTP11,Verified
YKL100C,YPF1,Verified
YKL101W,HSL1,Verified
YKL102C,,Dubious
YKL103C,APE1,Verified
YKL104C,GFA1,Verified
YKL105C,SEG2,Verified
YKL106W,AAT1,Verified
YKL107W,,Uncharacterized
YKL108W,SLD2,Verified
YKL109W,HAP4,Verified
YKL110C,KTI12,Verified
YKL111C,,Dubious
YKL112W,ABF1,Verified
YKL113C,RAD27,Verified
YKL114C,APN1,Verified
YKL115C,,Dubious
YKL116C,PRR1,Verified
YKL117W,SBA1,Verified
YKL118W,,Dubious
YKL119C,VPH2,Verified
YKL120W,OAC1,Verified
YKL121W,DGR2,Uncharacterized
YKL122C,SRP21,Verified
YKL123W,,Dubious
YKL124W,SSH4,Verified
YKL125W,RRN3,Verified
YKL126W,YPK1,Verified
YKL127W,PGM1,Verified
YKL128C,PMU1,Verified
YKL129C,MYO3,Verified
YKL130C,SHE2,Verified
YKL131W,,Dubious
YKL132C,RMA1,Verified
YKL133C,,Uncharacterized
YKL134C,01-Oct,Verified
YKL135C,APL2,Verified
YKL136W,,Dubious
YKL137W,CMC1,Verified
YKL138C,MRPL31,Verified
YKL139W,CTK1,Verified
YKL140W,TGL1,Verified
YKL141W,SDH3,Verified
YKL142W,MRP8,Verified
YKL143W,LTV1,Verified
YKL144C,RPC25,Verified
YKL145W,RPT1,Verified
YKL146W,AVT3,Verified
YKL147C,,Dubious
YKL148C,SDH1,Verified
YKL149C,DBR1,Verified
YKL150W,MCR1,Verified
YKL151C,,Verified
YKL152C,GPM1,Verified
YKL153W,,Dubious
YKL154W,SRP102,Verified
YKL155C,RSM22,Verified
YKL156W,RPS27A,Verified
YKL157W,APE2,Verified
YKL159C,RCN1,Verified
YKL160W,ELF1,Verified
YKL161C,KDX1,Verified
YKL162C,,Uncharacterized
YKL163W,PIR3,Verified
YKL164C,PIR1,Verified
YKL165C,MCD4,Verified
YKL166C,TPK3,Verified
YKL167C,MRP49,Verified
YKL168C,KKQ8,Verified
YKL169C,,Dubious
YKL170W,MRPL38,Verified
YKL171W,NNK1,Verified
YKL172W,EBP2,Verified
YKL173W,SNU114,Verified
YKL174C,TPO5,Verified
YKL175W,ZRT3,Verified
YKL176C,LST4,Verified
YKL177W,,Dubious
YKL178C,STE3,Verified
YKL179C,COY1,Verified
YKL180W,RPL17A,Verified
YKL181W,PRS1,Verified
YKL182W,FAS1,Verified
YKL183W,LOT5,Verified
YKL184W,SPE1,Verified
YKL185W,ASH1,Verified
YKL186C,MTR2,Verified
YKL187C,FAT3,Verified
YKL188C,PXA2,Verified
YKL189W,HYM1,Verified
YKL190W,CNB1,Verified
YKL191W,DPH2,Verified
YKL192C,ACP1,Verified
YKL193C,SDS22,Verified
YKL194C,MST1,Verified
YKL195W,MIA40,Verified
YKL196C,YKT6,Verified
YKL197C,PEX1,Verified
YKL198C,PTK1,Verified
YKL201C,MNN4,Verified
YKL202W,,Dubious
YKL203C,TOR2,Verified
YKL204W,EAP1,Verified
YKL205W,LOS1,Verified
YKL206C,ADD66,Verified
YKL207W,EMC3,Verified
YKL208W,CBT1,Verified
YKL209C,STE6,Verified
YKL210W,UBA1,Verified
YKL211C,TRP3,Verified
YKL212W,SAC1,Verified
YKL213C,DOA1,Verified
YKL214C,YRA2,Verified
YKL215C,OXP1,Verified
YKL216W,URA1,Verified
YKL217W,JEN1,Verified
YKL218C,SRY1,Verified
YKL219W,COS9,Verified
YKL220C,FRE2,Verified
YKL221W,MCH2,Verified
YKL222C,,Verified
YKL223W,,Dubious
YKL224C,PAU16,Verified
YKL225W,,Dubious
YKR001C,VPS1,Verified
YKR002W,PAP1,Verified
YKR003W,OSH6,Verified
YKR004C,ECM9,Verified
YKR005C,,Uncharacterized
YKR006C,MRPL13,Verified
YKR007W,MEH1,Verified
YKR008W,RSC4,Verified
YKR009C,FOX2,Verified
YKR010C,TOF2,Verified
YKR011C,,Verified
YKR012C,,Dubious
YKR013W,PRY2,Verified
YKR014C,YPT52,Verified
YKR015C,,Uncharacterized
YKR016W,MIC60,Verified
YKR017C,HEL1,Verified
YKR018C,,Verified
YKR019C,IRS4,Verified
YKR020W,VPS51,Verified
YKR021W,ALY1,Verified
YKR022C,NTR2,Verified
YKR023W,,Uncharacterized
YKR024C,DBP7,Verified
YKR025W,RPC37,Verified
YKR026C,GCN3,Verified
YKR027W,BCH2,Verified
YKR028W,SAP190,Verified
YKR029C,SET3,Verified
YKR030W,GMH1,Verified
YKR031C,SPO14,Verified
YKR032W,,Dubious
YKR033C,,Dubious
YKR034W,DAL80,Verified
YKR035C,OPI8,Dubious
YKR036C,CAF4,Verified
YKR037C,SPC34,Verified
YKR038C,KAE1,Verified
YKR039W,GAP1,Verified
YKR040C,,Dubious
YKR041W,,Verified
YKR042W,UTH1,Verified
YKR043C,SHB17,Verified
YKR044W,UIP5,Verified
YKR045C,,Uncharacterized
YKR046C,PET10,Verified
YKR047W,,Dubious
YKR048C,NAP1,Verified
YKR049C,FMP46,Verified
YKR050W,TRK2,Verified
YKR051W,,Uncharacterized
YKR052C,MRS4,Verified
YKR053C,YSR3,Verified
YKR054C,DYN1,Verified
YKR055W,RHO4,Verified
YKR056W,TRM2,Verified
YKR057W,RPS21A,Verified
YKR058W,GLG1,Verified
YKR059W,TIF1,Verified
YKR060W,UTP30,Verified
YKR061W,KTR2,Verified
YKR062W,TFA2,Verified
YKR063C,LAS1,Verified
YKR064W,OAF3,Verified
YKR065C,PAM17,Verified
YKR066C,CCP1,Verified
YKR067W,GPT2,Verified
YKR068C,BET3,Verified
YKR069W,MET1,Verified
YKR070W,,Uncharacterized
YKR071C,DRE2,Verified
YKR072C,SIS2,Verified
YKR073C,,Dubious
YKR074W,AIM29,Verified
YKR075C,,Uncharacterized
YKR076W,ECM4,Verified
YKR077W,MSA2,Verified
YKR078W,,Verified
YKR079C,TRZ1,Verified
YKR080W,MTD1,Verified
YKR081C,RPF2,Verified
YKR082W,NUP133,Verified
YKR083C,DAD2,Verified
YKR084C,HBS1,Verified
YKR085C,MRPL20,Verified
YKR086W,PRP16,Verified
YKR087C,OMA1,Verified
YKR088C,TVP38,Verified
YKR089C,TGL4,Verified
YKR090W,PXL1,Verified
YKR091W,SRL3,Verified
YKR092C,SRP40,Verified
YKR093W,PTR2,Verified
YKR094C,RPL40B,Verified
YKR095W,MLP1,Verified
YKR096W,ESL2,Verified
YKR097W,PCK1,Verified
YKR098C,UBP11,Verified
YKR099W,BAS1,Verified
YKR100C,SKG1,Verified
YKR101W,SIR1,Verified
YKR102W,FLO10,Verified
YKR103W,NFT1,Verified
YKR104W,,Verified
YKR105C,VBA5,Verified
YKR106W,GEX2,Verified
YAL065C,,Uncharacterized
YAR030C,,Dubious
YFL068W,,Uncharacterized
YFL067W,,Uncharacterized
YFL066C,,Uncharacterized
YFL065C,,Uncharacterized
YFL064C,,Uncharacterized
YFL063W,,Dubious
YFL062W,COS4,Verified
YFL061W,DDI2,Verified
YFL060C,SNO3,Verified
YFL059W,SNZ3,Verified
YFL058W,THI5,Verified
YFL055W,AGP3,Verified
YFL054C,AQY3,Uncharacterized
YFL053W,DAK2,Verified
YFL052W,ZNF1,Verified
YFL051C,,Uncharacterized
YFL050C,ALR2,Verified
YFL049W,SWP82,Verified
YFL048C,EMP47,Verified
YFL047W,RGD2,Verified
YFL046W,FMP32,Verified
YFL045C,SEC53,Verified
YFL044C,OTU1,Verified
YFL042C,LAM5,Verified
YFL041W,FET5,Verified
YFL040W,,Uncharacterized
YFL039C,ACT1,Verified
YFL038C,YPT1,Verified
YFL037W,TUB2,Verified
YFL036W,RPO41,Verified
YFL034C-B,MOB2,Verified
YFL034W,MIL1,Uncharacterized
YFL033C,RIM15,Verified
YFL032W,,Dubious
YFL031W,HAC1,Verified
YFL030W,AGX1,Verified
YFL029C,CAK1,Verified
YFL028C,CAF16,Verified
YFL027C,GYP8,Verified
YFL026W,STE2,Verified
YFL025C,BST1,Verified
YFL024C,EPL1,Verified
YFL023W,BUD27,Verified
YFL022C,FRS2,Verified
YFL021W,GAT1,Verified
YFL020C,PAU5,Verified
YFL019C,,Dubious
YFL018C,LPD1,Verified
YFL017C,GNA1,Verified
YFL016C,MDJ1,Verified
YFL015C,,Dubious
YFL014W,HSP12,Verified
YFL013C,IES1,Verified
YFL012W,,Uncharacterized
YFL011W,HXT10,Verified
YFL010C,WWM1,Verified
YFL009W,CDC4,Verified
YFL008W,SMC1,Verified
YFL007W,BLM10,Verified
YFL005W,SEC4,Verified
YFL004W,VTC2,Verified
YFL003C,MSH4,Verified
YFL002C,SPB4,Verified
YFL001W,DEG1,Verified
YFR001W,LOC1,Verified
YFR002W,NIC96,Verified
YFR003C,YPI1,Verified
YFR004W,RPN11,Verified
YFR005C,SAD1,Verified
YFR006W,,Uncharacterized
YFR007W,YFH7,Verified
YFR008W,FAR7,Verified
YFR009W,GCN20,Verified
YFR010W,UBP6,Verified
YFR011C,MIC19,Verified
YFR012W,DCV1,Verified
YFR013W,IOC3,Verified
YFR014C,CMK1,Verified
YFR015C,GSY1,Verified
YFR016C,,Verified
YFR017C,IGD1,Verified
YFR018C,,Uncharacterized
YFR019W,FAB1,Verified
YFR020W,CSS2,Verified
YFR021W,ATG18,Verified
YFR022W,ROG3,Verified
YFR023W,PES4,Verified
YFR025C,HIS2,Verified
YFR026C,ULI1,Verified
YFR027W,ECO1,Verified
YFR028C,CDC14,Verified
YFR029W,PTR3,Verified
YFR030W,MET10,Verified
YFR031C,SMC2,Verified
YFR032C,RRT5,Uncharacterized
YFR033C,QCR6,Verified
YFR034C,PHO4,Verified
YFR035C,,Uncharacterized
YFR036W,CDC26,Verified
YFR037C,RSC8,Verified
YFR038W,IRC5,Verified
YFR039C,OSW7,Verified
YFR040W,SAP155,Verified
YFR041C,ERJ5,Verified
YFR042W,KEG1,Verified
YFR043C,IRC6,Verified
YFR044C,DUG1,Verified
YFR045W,,Uncharacterized
YFR046C,CNN1,Verified
YFR047C,BNA6,Verified
YFR048W,RMD8,Verified
YFR049W,YMR31,Verified
YFR050C,PRE4,Verified
YFR051C,RET2,Verified
YFR052W,RPN12,Verified
YFR053C,HXK1,Verified
YFR054C,,Dubious
YFR056C,,Dubious
YFR055W,IRC7,Verified
YFR057W,,Uncharacterized
YER044C-A,MEI4,Verified
YFL010W-A,AUA1,Verified
YKL096W-A,CWP2,Verified
YHR079C-A,SAE3,Verified
YHR039C-A,VMA10,Verified
YKL006C-A,SFT1,Verified
YEL017C-A,PMP2,Verified
YFR031C-A,RPL2A,Verified
YER019C-A,SBH2,Verified
YER087C-B,SBH1,Verified
YAR002C-A,ERP1,Verified
YCR079W,PTC6,Verified
YAL034C,FUN19,Verified
YER056C-A,RPL34A,Verified
YAL004W,,Dubious
YAL034C-B,,Dubious
YAL042C-A,,Dubious
YAL056C-A,,Dubious
YAL064C-A,TDA8,Uncharacterized
YAL064W-B,,Uncharacterized
YAL068C,PAU8,Verified
YAL069W,,Dubious
YAR066W,,Uncharacterized
YAR075W,,Dubious
YBL109W,,Dubious
YBL111C,,Verified
YBL112C,,Uncharacterized
YBL113C,,Uncharacterized
YBR084C-A,RPL19A,Verified
YBR089C-A,NHP6B,Verified
YBR162W-A,YSY6,Verified
YDL001W,RMD1,Verified
YDL002C,NHP10,Verified
YDL003W,MCD1,Verified
YDL004W,ATP16,Verified
YDL005C,MED2,Verified
YDL006W,PTC1,Verified
YDL007W,RPT2,Verified
YDL008W,APC11,Verified
YDL009C,,Uncharacterized
YDL010W,GRX6,Verified
YDL011C,,Dubious
YDL012C,,Verified
YDL013W,SLX5,Verified
YDL014W,NOP1,Verified
YDL015C,TSC13,Verified
YDL016C,,Dubious
YDL017W,CDC7,Verified
YDL018C,ERP3,Verified
YDL019C,OSH2,Verified
YDL020C,RPN4,Verified
YDL021W,GPM2,Verified
YDL022W,GPD1,Verified
YDL023C,,Dubious
