Accession,Peptides used for quantitation,BY,BY 2,RM,RM 2,7.3.d,11.2.d,7.8.d,4.4.d,6.4.d,3.4.d,9.6.d,2.4.a,23.5.d,18.1.d,20.1.d,8.2.d,17.2.d,1.3.d,1.1.d,14.2.c
YBR212W,1,-1.634973102,-1.648172768,-1.204965981,-1.650079587,-1.238325154,-1.47200262,-1.990215966,-0.985674333,-0.868557985,-1.369185,-1.035330677,-2.051193182,-0.623872276,-1.11545481,-1.441385043,-1.435980274,-0.904835604,-1.418363809,-1.399832163,-1.680412332
YBR221W-A,1,-4.417388883,-4.174300524,-0.932672695,-0.81164027,-0.965994662,-1.68012541,-4.943492521,-1.008025743,-3.031284963,-0.694429581,-1.436435498,-6.404562196,-2.419061612,-2.82740504,-0.929808375,-3.087222612,-2.789824187,-2.214755637,-1.465307298,-2.394065981
YBR223C,1,-1.882914763,-1.607511031,-3.069743762,-3.030854985,-2.859668267,-2.881713825,-1.85327692,-3.478438726,-1.625564859,-2.488781234,-2.399743864,-1.522247101,-2.522146103,-1.778990117,-2.917458807,-1.818694574,-2.442988943,-1.633160466,-2.576616021,-1.863341655
YBR230C,1,-1.891123406,-1.696918414,-3.539188894,-2.816322103,-1.893704186,-1.868733408,-2.436512349,-1.152477723,-0.924691469,-2.940608246,-2.409304562,-5.301858617,-1.190230754,-3.000755206,-1.605993188,-3.196093561,-5.871421132,-3.059984199,-1.817764042,-3.090308223
YBR233W,1,-0.740699373,0.039942572,0.670621183,0.796539566,1.419444167,-1.982558604,-1.047976814,1.069954022,1.827601303,-1.391427051,-1.719759002,-0.3027601,-1.191362615,-0.708810931,0.762004573,1.390686184,-1.071559784,1.89156389,1.191668087,-0.704838402
YBR253W,1,-2.012838948,-1.798741136,-2.74115187,-2.413843494,-3.004274531,-2.255990679,-1.625277375,-3.5197242,-1.540985935,-2.101003475,-2.206499904,-1.730037405,-1.908648507,-1.920737395,-2.644818398,-1.503690423,-1.795185593,-1.597885288,-1.574607509,-1.471393597
YBR268W,1,4.972512632,4.958617382,4.143223622,4.188764875,4.316251083,5.043909393,5.766440253,4.296244022,5.178840756,4.210863322,4.783624543,6.158887957,3.812657355,4.361584722,4.356577767,5.042433478,4.090643286,3.343957413,4.884683747,4.353212026
YBR279W,1,0.777069289,0.742122477,0.762737815,0.483576813,0.55880794,0.585806792,0.754080974,1.435898515,1.091126938,0.687594132,0.445998304,0.815185701,0.350628624,0.308330175,0.012840918,0.663848206,0.385505185,0.448457246,0.285479826,0.617155018
YBR291C,1,-10.41652396,-9.640942137,-2.699708266,-2.258027333,-6.562578309,-10.76137934,-7.016685842,-4.644872777,-4.932078811,-6.308562172,-7.525171869,-6.050967783,-5.903592255,-7.345079962,-7.569616417,-8.614720435,-3.174624956,-7.818747279,-3.6206764,-7.587562616
YCL054W,1,-2.92194017,-3.173410969,-0.709676733,-0.4397716,-0.385815441,-1.038358913,-2.880987234,-0.222737218,-1.959465188,0.104487363,-0.807677086,-2.924108569,-1.425341209,-1.275122458,-0.4421097,-1.80850471,-2.614410876,-1.758068638,-0.159021885,-1.024640611
