Plate,Well,ID2,ID3,AVG Events,Events SD,AVG Mean,AVG SD,AVD Median
2,H9,YPL226W,96_wellD9,10378.00,785.59,41.37,20.07,38.80
2,I1,YGR270W,96_wellE1,13383.00,527.47,5.27,3.07,4.80
2,I13,YDL019C,96_wellE4,13531.67,1887.57,6.83,3.53,6.27
2,I17,YKL129C,96_wellE5,12909.00,1279.19,11.47,6.67,9.97
2,I21,YDR097C,96_wellE6,11747.67,1758.88,5.07,2.37,4.77
2,I5,YAL017W,96_wellE2,13256.00,5200.73,5.60,3.13,5.27
2,I9,YJR092W,96_wellE3,14387.33,566.38,5.13,2.67,4.70
2,J1,YHR155W,96_wellE7,19003.33,3762.70,5.27,2.77,4.77
2,J13,YGR233C,96_wellE10,14461.67,2013.93,6.00,3.27,5.40
2,J17,YHR158C,96_wellE11,16657.00,1462.25,7.23,3.90,6.60
2,J21,YER013W,96_wellE12,13763.00,1732.51,5.17,2.87,4.67
2,J5,YGL140C,96_wellE8,16857.67,1797.36,5.37,2.93,4.87
2,J9,YKR096W,96_wellE9,17049.33,3676.65,5.47,2.73,4.97
2,K1,YIL159W,96_wellF1,7498.00,1873.62,4.93,3.30,4.37
2,K13,YOR330C,96_wellF4,11273.33,1838.81,5.67,4.13,5.03
2,K17,YMR128W,96_wellF5,11674.33,397.53,5.97,3.07,5.43
2,K21,YNL091W,96_wellF6,12584.33,346.30,6.00,2.80,5.63
2,K5,YLR371W,96_wellF2,17051.33,1236.40,5.13,2.73,4.67
2,K9,YPL016W,96_wellF3,9876.67,1197.76,6.17,3.27,5.57
2,L1,YPL012W,96_wellF7,15318.33,1604.52,8.93,4.63,8.10
2,L13,YPR049C,96_wellF10,13665.67,3841.16,5.00,2.70,4.53
2,L17,YLR035C-A,96_wellF11,11328.00,1716.36,5.07,2.67,4.60
2,L21,YDR507C,96_wellF12,6773.67,737.16,5.67,3.63,5.03
2,L5,YMR109W,96_wellF8,11934.67,1134.94,12.13,6.93,10.57
2,L9,YAL001C,96_wellF9,14598.33,254.11,5.30,2.73,4.83
2,M1,YOR336W,96_wellG1,11194.00,2990.88,4.37,3.23,3.90
2,M13,YMR012W,96_wellG4,12718.33,292.35,26.00,15.03,22.90
2,M17,YGL133W,96_wellG5,9694.33,603.83,5.63,3.10,5.13
2,M21,YNL273W,96_wellG6,9934.67,529.51,5.10,2.40,4.73
2,M5,YFL036W,96_wellG2,11298.33,534.32,22.80,21.20,18.17
2,M9,YNL250W,96_wellG3,12354.00,696.98,5.03,2.83,4.57
2,N1,YCR033W,96_wellG7,12623.67,1663.28,5.60,2.93,5.10
2,N13,YLR272C,96_wellG10,11734.33,228.06,5.53,2.87,5.07
2,N17,YBL105C,96_wellG11,12248.67,770.37,6.33,3.07,5.83
2,N21,YER129W,96_wellG12,11035.67,1750.64,5.57,2.73,5.10
2,N5,YPR122W,96_wellG8,13831.33,3183.84,5.47,2.63,5.13
2,N9,YJL076W,96_wellG9,12480.67,165.02,7.27,4.20,6.57
2,O1,YML049C,96_wellH1,13940.00,3291.38,36.07,20.53,31.87
2,O13,YMR076C,96_wellH4,10303.00,1377.99,5.83,3.07,5.30
2,O17,YJL197W,96_wellH5,11865.67,2675.34,7.57,4.10,6.83
2,O21,YGR090W,96_wellH6,11724.33,1439.24,7.20,3.70,6.57
2,O5,YLR384C,96_wellH2,10569.67,655.06,12.37,7.53,10.67
2,O9,YDR217C,96_wellH3,9560.33,2234.44,5.20,3.17,4.67
2,P1,YFL008W,96_wellH7,14355.33,3030.53,5.90,3.27,5.40
2,P13,YJL092W,96_wellH10,14383.00,1386.95,4.93,2.47,4.50
2,P17,YIL026C,96_wellH11,10305.67,96.81,5.50,2.83,5.00
2,P21,YOR188W,96_wellH12,9222.00,129.99,5.03,3.33,4.60
2,P5,YPR010C,96_wellH8,11507.67,1890.23,5.33,3.30,4.80
2,P9,YEL025C,96_wellH9,13811.33,2271.32,4.70,2.93,4.23
3,A1,YML117W,96_wellA1,33354.33,5574.95,7.87,4.07,7.33
3,A13,YGR094W,96_wellA4,15531.33,3259.21,57.93,25.17,54.27
3,A17,YCL061C,96_wellA5,15200.33,3882.98,4.97,3.50,4.57
3,A21,YMR196W,96_wellA6,13964.33,2844.19,10.10,6.57,8.50
3,A5,YHR077C,96_wellA2,9769.67,2973.34,5.73,2.93,5.30
3,A9,YOL087C,96_wellA3,20519.67,4621.77,6.13,2.90,5.73
3,B1,YOL100W,96_wellA7,20274.33,1826.11,4.83,2.57,4.53
3,B13,YNL132W,96_wellA10,22479.33,2663.67,8.77,5.43,7.43
3,B17,YLR249W,96_wellA11,13837.67,1360.16,398.93,173.20,379.20
3,B21,YOL098C,96_wellA12,12094.00,2008.29,13.40,12.93,12.47
3,B5,YJL050W,96_wellA8,19239.33,5073.60,7.97,4.60,7.30
3,B9,YGR274C,96_wellA9,6586.00,104.97,5.60,3.20,5.20
3,C1,YPR022C,96_wellB1,8075.00,1622.40,5.17,4.83,4.70
3,C13,YKL092C,96_wellB4,17393.67,4237.18,5.50,3.53,5.10
3,C17,YBR150C,96_wellB5,7861.67,742.65,4.57,2.57,4.33
3,C21,YJR035W,96_wellB6,17353.00,2349.82,4.63,2.80,4.30
3,C5,YGR134W,96_wellB2,10790.33,3103.34,4.80,2.77,4.50
3,C9,YGL094C,96_wellB3,11820.33,2560.30,4.90,3.17,4.47
3,D1,YHR102W,96_wellB7,9873.33,3085.65,5.10,6.33,4.67
3,D13,YMR261C,96_wellB10,11869.33,2345.04,24.10,10.27,22.43
3,D17,YKL197C,96_wellB11,15899.33,3170.82,5.57,2.73,5.20
3,D21,YPL075W,96_wellB12,12338.33,1507.65,5.93,3.50,5.47
3,D5,YPR097W,96_wellB8,15350.33,2716.45,4.53,2.00,4.27
3,D9,YNL267W,96_wellB9,15111.33,2816.33,4.70,2.67,4.33
3,E1,YGL151W,96_wellC1,8348.00,1005.21,6.33,5.03,5.77
3,E13,YMR218C,96_wellC4,12521.67,3853.35,4.77,3.13,4.40
3,E17,YER111C,96_wellC5,10545.33,2564.83,5.00,3.00,4.63
3,E21,YLR223C,96_wellC6,14068.33,2493.55,4.83,2.67,4.47
3,E5,YER176W,96_wellC2,11738.00,2283.08,6.97,3.80,6.47
3,E9,YLR383W,96_wellC3,4829.33,843.63,5.63,4.20,4.93
3,F1,YHR119W,96_wellC7,15262.33,2064.29,5.07,4.10,4.67
3,F13,YDR325W,96_wellC10,12684.67,3289.31,5.17,3.27,4.73
3,F17,YNL327W,96_wellC11,5068.33,742.52,10.13,5.37,9.17
3,F21,YGL207W,96_wellC12,12873.00,2045.99,29.90,13.30,28.97
3,F5,YGL178W,96_wellC8,22602.33,1984.76,7.90,4.60,7.30
3,F9,YML010W,96_wellC9,8920.00,1521.60,13.70,6.60,12.67
3,G1,YKL105C,96_wellD1,10516.33,824.92,5.23,3.03,4.80
3,G13,YOL045W,96_wellD4,11319.67,2715.36,5.77,3.27,5.33
3,G17,YOL034W,96_wellD5,7141.00,1903.24,4.93,3.00,4.47
3,G21,YGR218W,96_wellD6,5620.33,1164.54,16.43,8.57,15.23
3,G5,YOR304W,96_wellD2,15823.00,2876.33,5.53,2.83,5.17
3,G9,YER110C,96_wellD3,12068.67,2531.41,39.33,18.03,36.43
3,H1,YDR291W,96_wellD7,18454.33,4313.10,4.80,3.10,4.40
3,H13,YDR017C,96_wellD10,3712.33,5863.80,5.23,5.00,4.57
3,H17,YER114C,96_wellD11,13429.00,2799.66,6.17,3.20,5.73
3,H21,YIL031W,96_wellD12,648.67,1058.66,5.13,6.40,3.50
