ORF,Gene,SWAT GFP localization,mCherry localization,Seamless GFP localization,"C' GFP localization (Won-Ki H. et. al. 2003)",SWAT GFP intensity median (a.u.),Seamless GFP intensity median (a.u.),Library tybe
YBR021W,FUR4,"cell periphery,vacuole","cell periphery,vacuole",below threshold,below threshold,25.0,12.2,SWAT-GFP
YBR023C,CHS3,ER,ER,punctate,punctate,46.6,14.9,SWAT-GFP
YBR029C,CDS1,ER,ER,ER,0,76.4,10.8,SWAT-GFP
YBR036C,CSG2,ER,"ER,vacuole",vacuole,"ER,vacuole",58.2,15.1,SWAT-GFP
YBR038W,CHS2,"cell periphery,vacuole membrane",vacuole,punctate,below threshold,38.6,13.3,SWAT-GFP
YBR040W,FIG1,vacuole,vacuole,below threshold,below threshold,31.6,8.7,SWAT-GFP
YBR041W,FAT1,"cell periphery,vacuole membrane,punctate","cell periphery,vacuole membrane,punctate",punctate,punctate,61.2,19.8,SWAT-GFP
YBR042C,CST26,ER,0,0,punctate,N/D,N/D,SWAT-GFP
YBR043C,QDR3,cell periphery,"cell periphery,vacuole",cell periphery,cell periphery,50.8,N/D,SWAT-GFP
YBR054W,YRO2,ER,ER,"cell periphery,ER","cell periphery,bud",119.6,16.5,SWAT-GFP
YBR056W,YBR056W,cytosol,cytosol,cytosol,cytosol,178.6,24.8,SWAT-GFP
YBR058C-A,TSC3,ER,ER,ER,ER,67.5,30.6,SWAT-GFP
YBR059C,AKL1,"cell periphery,punctate,bud neck","cell periphery,punctate,bud neck","below threshold,cytosol","bud neck,cell periphery,cytosol",86.8,14.5,SWAT-GFP
YBR067C,TIP1,cell periphery,"cytosol,cell periphery","cytosol,cell periphery",ER,49.9,114.0,SWAT-SP-GFP
YBR068C,BAP2,ER,vacuole,ER,"cell periphery,vacuole",29.8,18.6,SWAT-GFP
YBR069C,TAT1,"cell periphery,ER","cell periphery,ER,vacuole",ER,"cell periphery,bud",44.4,25.3,SWAT-GFP
YBR070C,ALG14,punctate,punctate,punctate,cytosol,24.0,10.8,SWAT-GFP
YBR074W,PFF1,"punctate,vacuole membrane","punctate,vacuole membrane",punctate,below threshold,83.1,16.1,SWAT-GFP
YBR077C,SLM4,vacuole membrane,vacuole membrane,vacuole membrane,vacuole membrane,61.7,30.9,SWAT-GFP
YBR078W,ECM33,ER,ambigous,"ambigous,ER",0,39.3,11.5,SWAT-SP-GFP
