ORF,Gene,SWAT GFP localization,mCherry localization,Seamless GFP localization,"C' GFP localization (Won-Ki H. et. al. 2003)",SWAT GFP intensity median (a.u.),Seamless GFP intensity median (a.u.),Library tybe
YDL212W,SHR3,ER,ER,ER,ER,193.1,39.1,SWAT-GFP
YDL222C,FMP45,"cell periphery,punctate","cell periphery,punctate","cell periphery,punctate",punctate,65.1,13.5,SWAT-GFP
YDL225W,SHS1,bud neck,bud neck,bud neck,"bud neck,cell periphery",74.2,22.5,SWAT-GFP
YDL226C,GCS1,"cytosol,punctate","cytosol,punctate","cytosol,punctate",cytosol,133.4,34.7,SWAT-GFP
YDL231C,BRE4,"cell periphery,ER","cell periphery,vacuole",below threshold,below threshold,27.9,9.1,SWAT-GFP
YDL232W,OST4,"ambigous,mitochondria",mitochondria,mitochondria,ER,143.8,48.1,SWAT-GFP
YDL234C,GYP7,"cytosol,punctate","cytosol,punctate","cytosol,punctate",cytosol,53.3,15.5,SWAT-GFP
YDL241W,YDL241W,ER,ER,below threshold,0,26.0,11.7,SWAT-GFP
YDL245C,HXT15,cell periphery,"cell periphery,vacuole",below threshold,0,81.5,N/D,SWAT-GFP
YDL247W,MPH2,"cell periphery,punctate","cell periphery,vacuole",below threshold,below threshold,33.4,N/D,SWAT-GFP
YDL248W,COS7,vacuole,vacuole,below threshold,ambiguous,26.5,8.3,SWAT-GFP
YDR003W,RCR2,vacuole membrane,vacuole membrane,"cytosol,vacuole","vacuole,cytosol",41.3,13.2,SWAT-GFP
YDR011W,SNQ2,cell periphery,"cell periphery,vacuole",cell periphery,cell periphery,48.3,12.0,SWAT-GFP
YDR018C,YDR018C,ER,"ER,vacuole",below threshold,below threshold,32.2,10.4,SWAT-GFP
YDR022C,ATG31,"cytosol,punctate","cytosol,punctate","below threshold,punctate",punctate,73.2,11.0,SWAT-GFP
YDR027C,VPS54,punctate,punctate,punctate,"punctate,punctate",39.6,12.3,SWAT-GFP
YDR033W,MRH1,ER,ER,ER,"cell periphery,bud",100.1,118.0,SWAT-GFP
YDR034C-A,YDR034C-A,below threshold,0,below threshold,0,14.9,9.3,SWAT-GFP
YDR034W-B,YDR034W-B,cell periphery,cell periphery,cell periphery,cell periphery,153.6,25.6,SWAT-GFP
YDR038C,ENA5,cell periphery,cell periphery,below threshold,cell periphery,55.7,8.5,SWAT-GFP
YDR039C,ENA2,cell periphery,0,below threshold,cell periphery,44.5,9.3,SWAT-GFP
YDR040C,ENA1,"cell periphery,vacuole","cell periphery,vacuole",below threshold,cell periphery,45.1,9.1,SWAT-GFP
YDR046C,BAP3,ER,"ER,vacuole",ER,vacuole,50.9,N/D,SWAT-GFP
YDR049W,VMS1,cytosol,0,0,cytosol,N/D,N/D,SWAT-GFP
YDR055W,PST1,"cell periphery,vacuole",cytosol,"cell periphery,vacuole",ER,26.5,20.5,SWAT-SP-GFP
YDR056C,YDR056C,ER,ER,ER,ER,115.9,21.8,SWAT-SP-GFP
YDR057W,YOS9,ER,ER,below threshold,below threshold,132.1,11.5,SWAT-SP-GFP
YDR062W,LCB2,ER,ER,ER,ER,73.4,32.6,SWAT-GFP
YDR069C,DOA4,punctate,"cytosol,punctate","cytosol,punctate","ambiguous,punctate",37.0,12.2,SWAT-GFP
YDR072C,IPT1,punctate,vacuole,punctate,cytosol,25.5,13.0,SWAT-GFP
YDR077W,SED1,cell periphery,"cell periphery,vacuole",cytosol,ER,53.2,334.3,SWAT-SP-GFP
YDR080W,VPS41,vacuole membrane,vacuole membrane,vacuole membrane,"vacuole,vacuole membrane",45.5,11.9,SWAT-GFP
YDR084C,TVP23,punctate,vacuole,punctate,"punctate,punctate,punctate",52.6,12.5,SWAT-GFP
YDR086C,SSS1,ER,ER,ER,ER,166.6,74.4,SWAT-GFP
YDR089W,YDR089W,vacuole membrane,0,0,cytosol,N/D,N/D,SWAT-GFP
YDR090C,YDR090C,ER,0,0,cell periphery,N/D,N/D,SWAT-GFP
YDR093W,DNF2,"cell periphery,ER,bud neck","cell periphery,ER,bud neck","cell periphery,bud neck","ambiguous,cell periphery,bud",37.1,14.2,SWAT-GFP
YDR100W,TVP15,punctate,punctate,punctate,punctate,111.1,30.5,SWAT-GFP
YDR105C,TMS1,vacuole membrane,vacuole membrane,vacuole membrane,vacuole membrane,31.4,9.1,SWAT-GFP
YDR107C,TMN2,punctate,vacuole,punctate,below threshold,95.5,14.4,SWAT-SP-GFP
YDR108W,TRS85,cytosol,cytosol,cytosol,cytosol,46.0,13.1,SWAT-GFP
YDR114C,YDR114C,below threshold,0,0,below threshold,N/D,N/D,SWAT-GFP
YDR119W,VBA4,vacuole membrane,0,vacuole membrane,vacuole membrane,82.1,N/D,SWAT-GFP
YDR126W,SWF1,ER,ER,below threshold,below threshold,18.6,10.7,SWAT-GFP
YDR135C,YCF1,"punctate,vacuole membrane","punctate,vacuole","punctate,vacuole membrane",vacuole membrane,35.4,15.7,SWAT-GFP
YDR137W,RGP1,punctate,punctate,punctate,punctate,50.1,13.0,SWAT-GFP
YDR141C,DOP1,"cytosol,punctate","cytosol,punctate",punctate,"punctate,punctate",57.9,15.0,SWAT-GFP
YDR142C,PEX7,punctate,punctate,below threshold,below threshold,42.0,15.7,SWAT-GFP
YDR144C,MKC7,vacuole,vacuole,below threshold,vacuole,24.9,12.8,SWAT-SP-GFP
YDR153C,ENT5,punctate,"cytosol,punctate",punctate,punctate,64.2,35.3,SWAT-GFP
YDR160W,SSY1,ER,"ER,vacuole",below threshold,below threshold,29.6,N/D,SWAT-GFP
YDR164C,SEC1,"cell periphery,bud neck","cell periphery,bud neck",below threshold,"ambiguous,neck,bud,cytosol,bud neck",89.4,10.2,SWAT-GFP
YDR166C,SEC5,"cell periphery,bud neck","cell periphery,bud neck","cell periphery,bud neck","ambiguous,neck,cell periphery,bud,bud neck",45.4,14.0,SWAT-GFP
YDR170C,SEC7,punctate,punctate,punctate,punctate,143.8,37.5,SWAT-GFP
YDR172W,SUP35,cytosol,cytosol,cytosol,cytosol,167.4,77.6,SWAT-GFP
YDR177W,UBC1,cytosol,cytosol,cytosol,"nucleus,cytosol",145.3,44.5,SWAT-GFP
YDR182W,CDC1,punctate,vacuole,punctate,ambiguous,54.2,16.9,SWAT-GFP
YDR189W,SLY1,"cytosol,punctate","cytosol,punctate",punctate,"punctate,punctate",111.7,22.7,SWAT-GFP
YDR196C,CAB5,cytosol,cytosol,below threshold,ER,40.3,10.9,SWAT-GFP
YDR200C,VPS64,ER,ER,below threshold,cytosol,39.1,9.6,SWAT-GFP
YDR205W,MSC2,ER,ER,ER,ER,32.0,14.5,SWAT-GFP
YDR211W,GCD6,cytosol,cytosol,cytosol,cytosol,116.5,38.4,SWAT-GFP
YDR216W,ADR1,cytosol,cytosol,cytosol,cytosol,47.3,15.6,SWAT-GFP
YDR218C,SPR28,cytosol,"cytosol,punctate",below threshold,below threshold,61.0,0.0,SWAT-GFP
YDR221W,GTB1,ER,vacuole,below threshold,ER,62.7,12.0,SWAT-SP-GFP
YDR229W,IVY1,"punctate,vacuole membrane","punctate,vacuole membrane","punctate,vacuole membrane",vacuole membrane,50.5,19.0,SWAT-GFP
YDR233C,RTN1,"cell periphery,ER,punctate","cell periphery,ER,punctate","cell periphery,ER,punctate","ER,cell periphery",146.3,61.2,SWAT-GFP
YDR234W,LYS4,cytosol,0,0,mitochondria,N/D,N/D,SWAT-GFP
YDR238C,SEC26,punctate,punctate,punctate,"punctate,punctate",116.8,44.2,SWAT-GFP
YDR244W,PEX5,punctate,punctate,punctate,punctate,56.0,23.4,SWAT-GFP
YDR245W,MNN10,"ER,punctate","ER,punctate",punctate,punctate,53.3,22.5,SWAT-GFP
YDR246W,TRS23,punctate,punctate,punctate,punctate,50.2,16.7,SWAT-GFP
YDR248C,YDR248C,"ER,vacuole",vacuole,below threshold,cytosol,75.3,16.7,SWAT-SP-GFP
YDR255C,RMD5,nucleus,nucleus,below threshold,below threshold,45.4,8.3,SWAT-GFP
YDR256C,CTA1,punctate,punctate,"punctate,bud neck",below threshold,64.1,12.1,SWAT-GFP
YDR261C,EXG2,ER,vacuole,below threshold,ambiguous,43.8,12.5,SWAT-SP-GFP
YDR262W,YDR262W,ER,vacuole,ambigous,vacuole,38.3,18.4,SWAT-SP-GFP
YDR265W,PEX10,punctate,punctate,below threshold,punctate,31.7,12.7,SWAT-GFP
YDR270W,CCC2,punctate,vacuole,punctate,punctate,21.5,11.8,SWAT-GFP
YDR275W,BSC2,punctate,0,punctate,punctate,26.9,13.6,SWAT-GFP
YDR276C,PMP3,cell periphery,cell periphery,cell periphery,ambiguous,145.1,111.3,SWAT-GFP
YDR281C,PHM6,vacuole,vacuole,vacuole,vacuole,14.9,9.2,SWAT-GFP
YDR284C,DPP1,vacuole membrane,vacuole membrane,vacuole membrane,vacuole membrane,87.3,23.3,SWAT-GFP
YDR292C,SRP101,ER,ER,ER,0,77.2,29.4,SWAT-GFP
YDR294C,DPL1,punctate,punctate,punctate,ER,33.0,12.3,SWAT-GFP
YDR297W,SUR2,ER,0,0,ER,N/D,N/D,SWAT-GFP
YDR302W,GPI11,ER,"ER,vacuole",ER,ER,64.6,19.0,SWAT-GFP
YDR304C,CPR5,ER,ER,ER,vacuole,290.8,66.0,SWAT-SP-GFP
YDR307W,PMT7,ER,0,ER,ER,51.9,13.6,SWAT-GFP
YDR319C,YFT2,punctate,vacuole,punctate,ambiguous,34.0,10.6,SWAT-GFP
YDR320C,SWA2,cytosol,cytosol,cytosol,ambiguous,88.2,17.7,SWAT-GFP
YDR323C,PEP7,punctate,punctate,punctate,punctate,36.2,12.0,SWAT-GFP
YDR326C,YSP2,"cell periphery,punctate","cell periphery,punctate","cell periphery,punctate",ambiguous,33.7,12.6,SWAT-GFP
YDR329C,PEX3,punctate,punctate,punctate,punctate,36.1,16.0,SWAT-GFP
YDR331W,GPI8,ER,ER,ER,ER,59.4,24.8,SWAT-SP-GFP
YDR338C,YDR338C,vacuole membrane,0,vacuole,ambiguous,27.9,11.9,SWAT-GFP
YDR342C,HXT7,cell periphery,"cell periphery,vacuole",below threshold,0,84.4,9.7,SWAT-GFP
YDR343C,HXT6,cell periphery,"cell periphery,vacuole",below threshold,cell periphery,62.5,10.6,SWAT-GFP
YDR345C,HXT3,cell periphery,"cell periphery,vacuole",cell periphery,"cell periphery,vacuole",74.2,114.8,SWAT-GFP
YDR349C,YPS7,ER,vacuole,below threshold,"ER,cytosol",54.6,13.2,SWAT-SP-GFP
YDR351W,SBE2,punctate,punctate,punctate,below threshold,28.6,12.2,SWAT-GFP
YDR356W,SPC110,"punctate,nucleus","punctate,nucleus","punctate,nucleus",punctate,55.5,16.3,SWAT-GFP
YDR358W,GGA1,"cytosol,punctate","cytosol,punctate","cytosol,punctate","cytosol,punctate",66.2,16.6,SWAT-GFP
YDR366C,YDR366C,"ambigous,mitochondria",ambigous,below threshold,below threshold,11.0,9.3,SWAT-GFP
YDR367W,KEI1,punctate,"cell periphery,vacuole",punctate,"punctate,punctate,punctate",90.9,21.6,SWAT-GFP
YDR371W,CTS2,"below threshold,cytosol",below threshold,below threshold,cytosol,15.5,9.6,SWAT-GFP
YDR372C,VPS74,punctate,0,0,"nucleus,cytosol",N/D,N/D,SWAT-GFP
YDR373W,FRQ1,cytosol,"cytosol,punctate",0,punctate,94.6,0.0,SWAT-GFP
YDR380W,ARO10,cytosol,cytosol,cytosol,cytosol,125.9,10.5,SWAT-GFP
YDR382W,RPP2B,"punctate,vacuole",vacuole,punctate,cytosol,72.2,57.3,SWAT-SP-GFP
YDR384C,ATO3,"cell periphery,punctate","cell periphery,vacuole","cell periphery,punctate","cell periphery,vacuole",49.6,30.5,SWAT-GFP
YDR385W,EFT2,cytosol,cytosol,cytosol,0,379.4,580.7,SWAT-GFP
YDR387C,YDR387C,vacuole membrane,vacuole membrane,below threshold,below threshold,67.4,12.3,SWAT-GFP
YDR388W,RVS167,"cytosol,punctate","cytosol,punctate","cell periphery,punctate",punctate,179.9,36.8,SWAT-GFP
YDR402C,DIT2,ER,vacuole,below threshold,below threshold,53.4,11.1,SWAT-SP-GFP
YDR406W,PDR15,cell periphery,cell periphery,below threshold,cytosol,68.1,12.0,SWAT-GFP
YDR407C,TRS120,punctate,"punctate,vacuole",punctate,punctate,46.4,11.1,SWAT-GFP
YDR410C,STE14,"ER,punctate","ER,punctate",punctate,ER,53.6,13.8,SWAT-GFP
YDR411C,DFM1,ER,ER,ER,ER,38.3,12.2,SWAT-GFP
YDR415C,YDR415C,"ER,vacuole",vacuole,ambigous,below threshold,40.0,16.2,SWAT-SP-GFP
YDR420W,HKR1,ER,"cell periphery,vacuole",ambigous,below threshold,37.9,17.1,SWAT-SP-GFP
YDR424C,DYN2,"punctate,nuclear periphery","punctate,nuclear periphery",punctate,ER,58.6,16.2,SWAT-GFP
YDR434W,GPI17,ER,ER,ER,ER,64.6,13.4,SWAT-GFP
YDR437W,GPI19,ER,vacuole,"below threshold,ER",ER,15.5,10.5,SWAT-GFP
YDR438W,THI74,vacuole,vacuole,vacuole,below threshold,23.8,8.5,SWAT-GFP
YDR452W,PPN1,vacuole,vacuole,vacuole,vacuole,69.3,18.4,SWAT-GFP
YDR456W,NHX1,ER,ER,"ER,punctate",punctate,46.4,11.0,SWAT-GFP
YDR458C,HEH2,nuclear periphery,nuclear periphery,nuclear periphery,nuclear periphery,61.4,14.6,SWAT-GFP
YDR459C,PFA5,cell periphery,"cell periphery,vacuole",below threshold,below threshold,44.3,8.8,SWAT-GFP
YDR461W,MFA1,ER,ER,below threshold,"nucleus,cytosol",0.0,12.3,SWAT-GFP
YDR468C,TLG1,punctate,punctate,punctate,0,85.8,24.6,SWAT-GFP
YDR470C,UGO1,punctate,0,0,0,N/D,N/D,SWAT-GFP
YDR472W,TRS31,"cytosol,punctate","cytosol,punctate",punctate,punctate,71.0,18.1,SWAT-GFP
YDR476C,YDR476C,ER,"ER,punctate",0,ER,74.6,18.7,SWAT-GFP
YDR479C,PEX29,ER,ER,ambigous,"ambiguous,cytosol,punctate",31.1,13.6,SWAT-GFP
YDR481C,PHO8,vacuole membrane,vacuole membrane,vacuole membrane,vacuole,96.9,10.9,SWAT-GFP
YDR483W,KRE2,vacuole membrane,vacuole membrane,vacuole,vacuole,89.1,15.9,SWAT-GFP
YDR484W,VPS52,"cytosol,punctate","cytosol,punctate",punctate,punctate,55.7,17.1,SWAT-GFP
YDR490C,PKH1,"cytosol,punctate",0,0,below threshold,N/D,N/D,SWAT-GFP
YDR492W,IZH1,ER,vacuole,ER,ER,23.6,12.7,SWAT-GFP
YDR495C,VPS3,punctate,punctate,punctate,punctate,30.6,12.5,SWAT-GFP
YDR497C,ITR1,"cell periphery,vacuole","cell periphery,vacuole",cell periphery,"cell periphery,vacuole",28.2,44.8,SWAT-GFP
YDR498C,SEC20,ER,ER,ER,ER,29.3,12.9,SWAT-GFP
YDR503C,LPP1,"ambigous,punctate",vacuole,"ambigous,punctate",punctate,29.8,10.2,SWAT-GFP
YDR504C,SPG3,ER,ER,below threshold,below threshold,23.3,10.9,SWAT-GFP
YDR506C,GMC1,ER,vacuole,ambigous,below threshold,65.0,12.8,SWAT-SP-GFP
YDR508C,GNP1,"cell periphery,ER,bud neck","cell periphery,ER,bud neck",ER,"ER,cell periphery",57.5,71.9,SWAT-GFP
YDR513W,GRX2,"punctate,nucleus","punctate,nucleus",nucleus,nucleus,91.2,20.0,SWAT-GFP
YDR517W,GRH1,cytosol,cytosol,cytosol,0,100.2,24.5,SWAT-GFP
YDR518W,EUG1,ER,ER,ambigous,0,202.3,12.3,SWAT-SP-GFP
YDR519W,FPR2,vacuole,vacuole,vacuole,ER,67.4,25.1,SWAT-SP-GFP
YDR522C,SPS2,"ambigous,punctate","ambigous,punctate",below threshold,0,21.1,9.0,SWAT-GFP
YDR524C,AGE1,punctate,ambigous,below threshold,cytosol,26.8,10.3,SWAT-GFP
YDR524C-B,YDR524C-B,ER,ER,below threshold,0,50.2,11.7,SWAT-SP-GFP
YDR525W-A,SNA2,vacuole membrane,vacuole membrane,vacuole membrane,"punctate,vacuole membrane,punctate",91.5,49.2,SWAT-GFP
YDR534C,FIT1,cell periphery,"cell periphery,vacuole",below threshold,0,44.8,11.1,SWAT-SP-GFP
YDR536W,STL1,"cell periphery,vacuole","cell periphery,vacuole",below threshold,0,28.8,N/D,SWAT-GFP
YDR541C,YDR541C,ER,vacuole,below threshold,0,38.6,11.4,SWAT-SP-GFP
YDR542W,PAU10,"ER,vacuole",vacuole,below threshold,0,53.8,11.8,SWAT-SP-GFP
YEL001C,IRC22,ER,ER,ER,ER,248.7,86.2,SWAT-SP-GFP
YEL013W,VAC8,"cytosol,vacuole membrane","cytosol,vacuole membrane",ambigous,vacuole membrane,110.5,57.3,SWAT-GFP
YEL016C,NPP2,ER,ER,punctate,below threshold,23.8,9.4,SWAT-GFP
YEL017C-A,PMP2,"cell periphery,vacuole membrane","cell periphery,vacuole","cell periphery,vacuole membrane","cell periphery,vacuole",199.2,214.0,SWAT-GFP
YEL017W,GTT3,nuclear periphery,nuclear periphery,nuclear periphery,nuclear periphery,N/D,N/D,SWAT-GFP
YEL020C,YEL020C,punctate,punctate,punctate,cytosol,65.6,12.4,SWAT-GFP
YEL022W,GEA2,"cytosol,punctate","cytosol,punctate",punctate,"cytosol,punctate",89.5,17.2,SWAT-GFP
YEL025C,YEL025C,nucleus,nucleus,below threshold,"nucleus,cytosol",48.4,12.6,SWAT-GFP
YEL027W,VMA3,vacuole membrane,0,0,ER,N/D,N/D,SWAT-GFP
YEL031W,SPF1,ER,ER,ER,ER,118.4,27.7,SWAT-GFP
YEL033W,MTC7,below threshold,0,below threshold,cytosol,12.3,10.0,SWAT-GFP
YEL036C,ANP1,punctate,punctate,"ambigous,punctate",punctate,55.2,14.2,SWAT-GFP
YEL040W,UTR2,ER,vacuole,below threshold,ER,376.5,11.6,SWAT-SP-GFP
YEL043W,YEL043W,"cell periphery,punctate","cell periphery,vacuole","ambigous,ER",ER,81.8,14.0,SWAT-SP-GFP
YEL048C,TCA17,cytosol,cytosol,punctate,punctate,76.2,19.6,SWAT-GFP
YEL051W,VMA8,vacuole membrane,vacuole membrane,vacuole membrane,vacuole membrane,44.5,9.1,SWAT-GFP
YEL063C,CAN1,ER,0,"ambigous,ER","cell periphery,vacuole",N/D,N/D,SWAT-GFP
YEL064C,AVT2,punctate,"vacuole,punctate","below threshold,punctate",0,28.6,10.1,SWAT-GFP
YEL065W,SIT1,vacuole,vacuole,vacuole,vacuole,29.5,N/D,SWAT-GFP
YEL068C,YEL068C,ER,vacuole,"ambigous,ER",0,88.6,13.2,SWAT-SP-GFP
YEL069C,HXT13,ER,ER,ER,below threshold,70.6,N/D,SWAT-GFP
YER001W,MNN1,punctate,"ER,punctate",punctate,vacuole,63.1,25.0,SWAT-GFP
YER005W,YND1,ER,0,"ambigous,punctate","ambiguous,punctate,punctate",31.3,10.2,SWAT-GFP
YER006W,NUG1,nucleus,nucleus,"nucleus,punctate","nucleolus,nucleus",42.7,14.9,SWAT-GFP
YER008C,SEC3,bud neck,bud neck,bud neck,"neck,cell periphery,bud,bud neck",50.2,13.7,SWAT-GFP
YER011W,TIR1,"cell periphery,vacuole","cell periphery,vacuole",ambigous,ER,56.2,13.8,SWAT-SP-GFP
YER014W,HEM14,mitochondria,mitochondria,mitochondria,mitochondria,62.3,17.4,SWAT-GFP
YER015W,FAA2,punctate,punctate,punctate,below threshold,90.6,14.5,SWAT-GFP
YER019W,ISC1,"cell periphery,ER","cell periphery,ER",ambigous,0,56.2,9.5,SWAT-GFP
YER020W,GPA2,cytosol,cytosol,cytosol,cell periphery,43.2,27.8,SWAT-GFP
YER025W,GCD11,cytosol,cytosol,0,cytosol,133.3,N/D,SWAT-GFP
YER031C,YPT31,punctate,punctate,punctate,"nucleus,cytosol",96.3,25.7,SWAT-GFP
YER039C,HVG1,ER,ER,below threshold,below threshold,22.0,10.1,SWAT-GFP
YER039C-A,YER039C-A,below threshold,cytosol,below threshold,below threshold,13.3,10.4,SWAT-GFP
YER044C,ERG28,ER,ER,ER,ER,50.6,15.2,SWAT-GFP
YER053C-A,YER053C-A,"cytosol,nucleus",below threshold,below threshold,ER,13.5,10.3,SWAT-GFP
YER056C,FCY2,cell periphery,"cell periphery,vacuole",cell periphery,vacuole,74.2,59.1,SWAT-GFP
YER060W,FCY21,"cell periphery,punctate",0,0,below threshold,N/D,N/D,SWAT-GFP
YER060W-A,FCY22,"cell periphery,vacuole","cell periphery,vacuole",below threshold,0,38.9,8.9,SWAT-GFP
YER061C,CEM1,"ambigous,ER",vacuole,below threshold,mitochondria,23.4,11.9,SWAT-SP-GFP
YER072W,VTC1,vacuole membrane,vacuole membrane,vacuole membrane,ER,221.6,35.4,SWAT-GFP
YER076C,YER076C,ER,ER,below threshold,below threshold,47.1,11.9,SWAT-SP-GFP
YER083C,GET2,ER,"ambigous,ER",ER,ER,76.5,23.8,SWAT-GFP
YER087C-B,SBH1,ER,ER,ER,ambiguous,185.9,35.3,SWAT-GFP
YER093C,TSC11,cytosol,cytosol,cytosol,cytosol,27.0,10.2,SWAT-GFP
YER093C-A,AIM11,"punctate,mitochondria","punctate,mitochondria",below threshold,below threshold,23.1,9.5,SWAT-GFP
YER094C,PUP3,nucleus,nucleus,nucleus,0,167.5,112.3,SWAT-GFP
YER100W,UBC6,ER,ER,ER,ER,89.8,19.1,SWAT-GFP
YER118C,SHO1,"cell periphery,ER,bud neck","cell periphery,ER,bud neck","cell periphery,bud neck","bud neck,cell periphery,cytosol",75.9,15.1,SWAT-GFP
YER119C,AVT6,vacuole membrane,vacuole membrane,vacuole,below threshold,71.6,10.7,SWAT-GFP
YER120W,SCS2,ER,ER,ER,ER,214.3,50.7,SWAT-GFP
YER122C,GLO3,punctate,punctate,punctate,"punctate,punctate",93.4,9.1,SWAT-GFP
YER123W,YCK3,vacuole membrane,vacuole membrane,vacuole membrane,vacuole,51.9,24.0,SWAT-GFP
YER125W,RSP5,punctate,punctate,punctate,nucleus,96.5,37.1,SWAT-GFP
YER129W,SAK1,cytosol,cytosol,below threshold,cytosol,35.3,13.8,SWAT-GFP
YER140W,EMP65,"cell periphery,ER,punctate","cell periphery,ER,punctate","cell periphery,ER,punctate",cytosol,24.9,9.1,SWAT-GFP
YER145C,FTR1,ER,below threshold,below threshold,cell periphery,20.4,11.0,SWAT-GFP
YER150W,SPI1,cell periphery,"cell periphery,vacuole",below threshold,vacuole,52.4,12.7,SWAT-SP-GFP
YER151C,UBP3,cytosol,cytosol,cytosol,cytosol,60.9,18.0,SWAT-GFP
YER157W,COG3,punctate,punctate,punctate,"punctate,punctate",50.3,14.5,SWAT-GFP
YER166W,DNF1,"cell periphery,ER,bud neck","cell periphery,ER,bud neck","punctate,bud neck",punctate,57.2,15.8,SWAT-GFP
YER184C,TOG1,nucleus,nucleus,below threshold,below threshold,67.7,12.4,SWAT-GFP
YER185W,PUG1,ER,"cell periphery,vacuole",below threshold,below threshold,40.0,10.1,SWAT-GFP
YFL004W,VTC2,vacuole membrane,vacuole membrane,vacuole membrane,ER,125.3,23.7,SWAT-GFP
YFL005W,SEC4,"ER,punctate,bud neck","ER,punctate,bud neck",below threshold,0,182.4,11.6,SWAT-GFP
YFL011W,HXT10,"cell periphery,vacuole","cell periphery,vacuole",ambigous,below threshold,46.4,8.8,SWAT-GFP
YFL020C,PAU5,vacuole,vacuole,below threshold,below threshold,40.8,12.1,SWAT-SP-GFP
YFL025C,BST1,ER,"ER,vacuole","ambigous,ER",ER,26.5,10.4,SWAT-GFP
YFL026W,STE2,ambigous,0,0,vacuole,N/D,N/D,SWAT-GFP
YFL030W,AGX1,cytosol,cytosol,below threshold,below threshold,84.7,15.0,SWAT-GFP
YFL034W,YFL034W,punctate,"cytosol,punctate",punctate,punctate,55.4,14.9,SWAT-GFP
YFL037W,TUB2,punctate,0,punctate,0,218.4,0.0,SWAT-GFP
YFL038C,YPT1,punctate,punctate,punctate,0,208.6,9.4,SWAT-GFP
YFL040W,YFL040W,vacuole,vacuole,below threshold,below threshold,23.5,9.2,SWAT-GFP
YFL041W,FET5,ER,ER,ambigous,vacuole membrane,76.5,18.1,SWAT-SP-GFP
YFL042C,LAM5,"ER,punctate","ER,punctate","ER,punctate",below threshold,44.6,11.4,SWAT-GFP
YFL046W,FMP32,"punctate,mitochondria","punctate,mitochondria",below threshold,mitochondria,12.9,9.6,SWAT-GFP
YFL048C,EMP47,punctate,"punctate,vacuole",punctate,vacuole membrane,158.7,42.8,SWAT-SP-GFP
YFL050C,ALR2,"cell periphery,punctate","cell periphery,vacuole","cell periphery,punctate",below threshold,46.7,11.1,SWAT-GFP
YFL051C,YFL051C,cell periphery,"cell periphery,vacuole",below threshold,below threshold,55.8,12.2,SWAT-SP-GFP
YFL054C,YFL054C,"cell periphery,punctate","cell periphery,vacuole",below threshold,0,43.1,10.5,SWAT-GFP
YFL055W,AGP3,ER,ER,below threshold,below threshold,35.3,N/D,SWAT-GFP
YFL062W,COS4,vacuole,vacuole,below threshold,vacuole,40.1,10.7,SWAT-GFP
YFL066C,YFL066C,"punctate,nucleus","punctate,nucleus",below threshold,cytosol,41.4,11.7,SWAT-GFP
YFL067W,YFL067W,ambigous,vacuole,below threshold,below threshold,16.1,11.7,SWAT-SP-GFP
YFL068W,YFL068W,"cytosol,punctate",cytosol,below threshold,below threshold,129.0,8.7,SWAT-GFP
YFR006W,YFR006W,punctate,punctate,punctate,cytosol,128.2,12.7,SWAT-GFP
YFR008W,FAR7,cytosol,cytosol,punctate,cytosol,47.6,10.8,SWAT-GFP
YFR018C,YFR018C,ER,vacuole,"ambigous,ER",below threshold,74.4,16.3,SWAT-SP-GFP
YFR020W,YFR020W,ER,"ER,vacuole",below threshold,below threshold,133.7,12.0,SWAT-SP-GFP
YFR021W,ATG18,"cell periphery,vacuole membrane,punctate","cell periphery,vacuole membrane,punctate","cell periphery,vacuole membrane,punctate",cytosol,60.2,9.3,SWAT-GFP
YFR022W,ROG3,cytosol,cytosol,below threshold,below threshold,45.2,9.3,SWAT-GFP
YFR026C,ULI1,"ER,punctate","ER,punctate",below threshold,below threshold,211.8,11.8,SWAT-SP-GFP
YFR032C-B,YFR032C-B,below threshold,below threshold,0,0,12.6,N/D,SWAT-GFP
YFR035C,YFR035C,"ambigous,punctate","ambigous,punctate","ambigous,punctate",below threshold,19.7,12.5,SWAT-GFP
YFR038W,IRC5,nucleus,nucleus,0,below threshold,N/D,N/D,SWAT-GFP
YFR039C,OSW7,ER,ER,"ER,punctate",nuclear periphery,79.4,18.3,SWAT-SP-GFP
YFR041C,ERJ5,ER,ER,ER,ER,69.0,19.4,SWAT-SP-GFP
YFR042W,KEG1,ER,ER,below threshold,0,61.1,13.8,SWAT-GFP
YFR048W,RMD8,ER,vacuole,"ambigous,ER",ambiguous,30.4,9.7,SWAT-GFP
YFR050C,PRE4,nucleus,nucleus,"cytosol,nucleus",0,119.8,74.2,SWAT-GFP
YFR051C,RET2,punctate,0,0,"punctate,punctate",N/D,N/D,SWAT-GFP
YGL001C,ERG26,ER,ER,ER,ER,129.1,29.8,SWAT-GFP
YGL002W,ERP6,ER,vacuole,"ambigous,ER",below threshold,34.4,15.6,SWAT-SP-GFP
YGL005C,COG7,cytosol,cytosol,punctate,punctate,73.6,20.8,SWAT-GFP
YGL006W,PMC1,vacuole membrane,vacuole membrane,below threshold,vacuole membrane,74.0,9.3,SWAT-GFP
YGL008C,PMA1,cytosol,cytosol,cytosol,0,154.3,29.5,SWAT-GFP
YGL010W,MPO1,ER,ER,below threshold,0,26.5,10.4,SWAT-GFP
YGL012W,ERG4,ER,ER,ER,ER,132.6,29.3,SWAT-GFP
