Gene ID,REF,EtOH  20g/L,EtOH  40g/L,EtOH  60g/L,Osmo 0.2 M (NaCl),Osmo 0.4 M (NaCl),Osmo 0.6 M (NaCl),Temp 33C,Temp 36C,Temp 38C,EtOH20 vs REF,EtOH40 vs REF,EtOH60 vs REF,Osm200 vs REF,Osm400 vs REF,Osm600 vs REF,Temp33 vs REF,Temp36 vs REF,Temp38 vs REF,EtOH20 vs REF,EtOH40 vs REF,EtOH60 vs REF,Osm200 vs REF,Osm400 vs REF,Osm600 vs REF,Temp33 vs REF,Temp36 vs REF,Temp38 vs REF
YBL026W,1550.830719,1587.953909,1642.572416,1639.571296,1571.348441,1551.866222,1485.725316,1724.612733,1651.794546,1487.436533,-0.010273498,-0.02496013,-0.024165912,-0.005708104,-0.000289885,0.018625871,-0.046127193,-0.027391633,0.018125951,0.909332081,0.553399354,0.470117861,0.975487903,0.999977057,0.749040895,0.441779341,0.501672048,0.636651852
YBL033C,340.5877482,353.169547,244.7468068,215.0248319,380.7698812,403.4808758,NA,NA,NA,281.2031802,-0.015754227,0.143511987,0.199740404,-0.048433567,-0.073593934,NA,NA,NA,0.083208793,NA,NA,NA,NA,NA,NA,NA,NA,NA
YBL036C,796.1816258,542.7495935,813.6588573,932.6099867,810.8562435,796.1520058,849.5216514,993.558105,1056.941428,991.3682853,0.166412644,-0.009430206,-0.068687911,-0.007931714,1.61572E-05,-0.028162301,-0.09618112,-0.12303877,-0.095222871,0.047475686,0.89837646,0.176405852,0.950012332,0.999977057,0.555921413,0.282626419,0.139559684,0.080796285
YBL037W,45.15274959,58.12921997,68.12286845,58.37707402,55.90861933,55.62574774,54.13768973,55.42769007,67.91986091,93.79693104,-0.109710293,-0.178608725,-0.111558122,-0.092794565,-0.09059166,-0.078815517,-0.089042578,-0.177312586,-0.317504427,NA,NA,NA,NA,NA,NA,NA,NA,NA
YBL039C,736.0088377,523.5239458,455.3914196,455.2781131,785.2708014,795.8534239,891.0842037,905.1385339,842.7350617,757.9505552,0.147946478,0.208498186,0.208606257,-0.02813642,-0.03395006,-0.083035716,-0.089832025,-0.058808034,-0.012757846,0.047162151,0.019139979,0.012292076,0.868656189,0.710081989,0.056863236,0.511301441,0.399488742,0.517298006
YBL041W,1672.092059,1678.840004,1538.689512,1532.131956,1555.579173,1501.524587,1484.593592,1603.890773,1636.677704,1168.625378,-0.001749125,0.036109191,0.037964014,0.031368064,0.046727736,0.051652603,0.018085395,0.009297018,0.155584871,0.972474107,0.502097627,0.407386735,0.86645689,0.608557712,0.250445214,0.708840207,0.819143819,0.010804906
YBL045C,27213.85543,37803.05115,46743.64486,41069.29572,29883.13789,29256.01946,35426.20457,28352.35318,28111.15421,16597.42006,-0.142736781,-0.2349325,-0.178727182,-0.040636125,-0.031425163,-0.114534553,-0.017799037,-0.014088604,0.214749488,0.105794921,0.053929534,0.074795239,0.850165909,0.710081989,0.115515,0.725585905,0.788476827,0.147396055
YBL047C,229.8656174,185.9194078,257.6717034,362.1697779,222.9268355,210.7122848,234.865662,244.0674022,281.4090449,290.6610473,0.092149288,-0.049592713,-0.197438191,0.013311665,0.037784159,-0.009345511,-0.026035763,-0.087864037,-0.101912818,0.16927661,0.185244518,0.079583024,0.936505905,0.473749976,0.830054502,0.50626373,0.104628525,0.038869619
YBL050W,290.9033725,280.5534614,245.1142562,251.7080173,306.6473162,297.6851227,326.1188136,315.0187473,386.494448,279.0489724,0.015733125,0.074380185,0.062851707,-0.022890412,-0.010008374,-0.049627098,-0.034587644,-0.123394504,0.018068329,0.859655615,0.063212523,0.09889296,0.882268212,0.907790092,0.106761209,0.41589109,0.048765375,0.568944118
YBL055C,79.78768464,63.31521526,57.19269706,49.49725319,85.30197476,76.38205292,74.05587154,68.29318978,60.9125613,77.83871963,0.100427775,0.144595285,0.207354764,-0.029023223,0.018944536,0.032376365,0.067558465,0.117229001,0.010740179,0.350658112,0.06681224,0.023881992,0.904173929,0.935870037,0.740624569,0.420991937,0.170063638,0.823501222
